Wall time,Step,Value
1519830583.792086,134,-0.24461469054222107
1519830584.009895,135,-0.2816905677318573
1519830584.241014,136,-0.29590657353401184
1519830584.459421,137,-0.2422519028186798
1519830584.674468,138,-0.2421424686908722
1519830584.895886,139,-0.24546119570732117
1519830585.126306,140,-0.29233041405677795
1519830585.33306,141,-0.27525946497917175
1519830585.547221,142,-0.24081149697303772
1519830585.762727,143,-0.24751348793506622
1519830585.991854,144,-0.24827541410923004
1519830586.216357,145,-0.29158884286880493
1519830586.428855,146,-0.25932776927948
1519830586.636537,147,-0.25752872228622437
1519830586.846635,148,-0.2501373589038849
1519830587.053261,149,-0.24167963862419128
1519830587.290958,150,-0.26105889678001404
1519830587.502826,151,-0.23973490297794342
1519830587.725604,152,-0.27290138602256775
1519830587.947815,153,-0.2586324214935303
1519830588.169063,154,-0.2627035081386566
1519830588.404841,155,-0.28061443567276
1519830588.642442,156,-0.26446476578712463
1519830588.854129,157,-0.2538975477218628
1519830589.072659,158,-0.25150153040885925
1519830589.319608,159,-0.26762592792510986
1519830589.548904,160,-0.29433512687683105
1519830589.779091,161,-0.2853093445301056
1519830589.991095,162,-0.23873557150363922
1519830590.206516,163,-0.25565728545188904
1519830590.442448,164,-0.28071707487106323
1519830590.654143,165,-0.287314236164093
1519830590.861097,166,-0.24437159299850464
1519830591.078578,167,-0.3015289902687073
1519830591.290141,168,-0.25915464758872986
1519830591.514174,169,-0.26272884011268616
1519830591.731065,170,-0.2667700946331024
1519830591.948501,171,-0.2588464021682739
1519830592.168589,172,-0.27974584698677063
1519830592.379888,173,-0.24346387386322021
1519830592.587868,174,-0.24445109069347382
1519830592.80027,175,-0.24440087378025055
1519830593.030906,176,-0.2932525873184204
1519830593.245441,177,-0.23998160660266876
1519830593.460294,178,-0.24781450629234314
1519830593.689109,179,-0.29094213247299194
1519830593.910727,180,-0.2471446990966797
1519830594.11968,181,-0.26417991518974304
1519830594.359281,182,-0.2708394229412079
1519830594.57662,183,-0.2467786967754364
1519830594.805993,184,-0.2854235768318176
1519830595.017406,185,-0.2488340139389038
1519830595.254773,186,-0.2890254855155945
1519830595.498924,187,-0.25560325384140015
1519830595.715069,188,-0.28573521971702576
1519830595.926616,189,-0.25028669834136963
1519830596.159028,190,-0.28212878108024597
1519830596.392458,191,-0.28742966055870056
1519830596.604583,192,-0.2498071789741516
1519830596.847338,193,-0.2749045491218567
1519830597.075931,194,-0.2370685487985611
1519830597.319067,195,-0.26701289415359497
1519830597.557571,196,-0.28708699345588684
1519830597.764905,197,-0.2623739540576935
1519830597.971398,198,-0.2402905821800232
1519830598.186982,199,-0.25375956296920776
1519830598.434389,200,-0.27403566241264343
1519830598.651285,201,-0.2551170587539673
1519830598.89185,202,-0.26434624195098877
1519830599.12,203,-0.2536832094192505
1519830599.339775,204,-0.259472131729126
1519830599.553215,205,-0.2543163597583771
1519830599.779182,206,-0.28341007232666016
1519830600.010293,207,-0.2936514616012573
1519830600.246728,208,-0.29346486926078796
1519830600.470549,209,-0.28826868534088135
1519830600.68208,210,-0.24737566709518433
1519830600.937939,211,-0.2682915925979614
1519830601.169555,212,-0.26702532172203064
1519830601.406411,213,-0.2847367823123932
1519830601.637737,214,-0.2681505084037781
1519830601.848919,215,-0.27481696009635925
1519830602.088022,216,-0.24519497156143188
1519830602.299153,217,-0.2681594491004944
1519830602.516181,218,-0.24198056757450104
1519830602.752363,219,-0.2860865592956543
1519830602.984931,220,-0.2916025221347809
1519830603.218787,221,-0.2528807818889618
1519830603.434588,222,-0.2490018755197525
1519830603.64703,223,-0.2513408362865448
1519830603.869869,224,-0.2758350074291229
1519830604.083915,225,-0.23951511085033417
1519830604.31266,226,-0.2665030360221863
1519830604.544195,227,-0.28955507278442383
1519830604.784538,228,-0.2880845367908478
1519830605.005729,229,-0.25996673107147217
1519830605.222626,230,-0.265503853559494
1519830605.446158,231,-0.2568597197532654
1519830605.678452,232,-0.2703712284564972
1519830605.924091,233,-0.29407644271850586
1519830606.138289,234,-0.28785765171051025
1519830606.35295,235,-0.2551247775554657
1519830606.57657,236,-0.28268593549728394
1519830606.79099,237,-0.2632400691509247
1519830607.022566,238,-0.29299670457839966
